Nr,Weaknesses,Strengths,Type,Predicting,Chemical group,Data,Best method,Best setup,Mode,Other Class,Other methods,Data preprosessing,Validation parameters,Validation,Testing,Code given (FAIR),Databases given (FAIR),Supervized,"Software, packages",Year,More info,Source,Lead author,Country lead author,Journal,AD,Data given,Outlier handeling
12,A lot of important information in in the supporting information. Not exactly mentioned what other methods were used,Mentioned all the models considered. 46 pages supplemental information about model development,QSAR,Predicting Primary Biodegradation of Petroleum HydrocarbonsinAquaticSystems (Degradation),Hydrocarbons,"728 DT50 values for 181 unique hydrocarbons in a temperature range (2-21 oC), 45 predictors",DT,Cubist,R,"BA,CL,NN",Not mentioned,log transformation of the data,"R^2,RMSE","training: 80%, 5-fold cross-validation",testing:20 %,Yes,Yes,Supervized,R; cubist; scales; stringer; rpart; caret; RColorBrewer,2022,,"Davis, C. W., Camenzuli, L., & Redman, A. D. (2022). Predicting Primary Biodegradation of Petroleum Hydrocarbons in Aquatic Systems: Integrating System and Molecular Structure Parameters using a Novel Machine‐Learning Framework. Environmental Toxicology and Chemistry, 41(6), 1359–1369. https://doi.org/10.1002/etc.5328",Craig Warren Davis,USA,Environmental Toxicology and Chemistry,Yes,No,"Checked if there were, nothing mentioned about handeling"
13,Not all abbreviations explained,Data acquisition shown. Optimization given (in supporting information),QSAR,Predicting toxicity of amine structures (Toxicity),Organic molecules,448 amine structures. Nr of predictors 4?,CL,"t-Distributed Stochastic Neighbor, UMAP (n_neighbots=50, min_dist=0.25)",C,None,None,decomposition using UMAP,Nothing mentioned,Only training,Not performed,Yes,Yes,Supervized,Python; PubChemPy; RDKit; MHFP; UMAP; Pandas; Scikit-learn; Plotly,2022,,"Su, A., Cheng, Y., Xue, H., She, Y., & Rajan, K. (2022). Artificial intelligence informed toxicity screening of amine chemistries used in the synthesis of hybrid organic–inorganic perovskites. AIChE Journal, 68(6). https://doi.org/10.1002/aic.17699",An Su,USA,AIChE Journal,No,,
14,Not found how many trees were in the optimize dmodel.,Looked into outliers,Process monitoring,Predicting CO2 and CH4 concentrations in inland aquatic,Greenhouse gasses,"samples: 294 for CH4 and 235 for CO2, 13-18 predictors",DT,"Boosted regression tree model (tree complexity =2, Nr trees > 1000)",R,None,None,log transformation of the response. Pearson correlation to exclude strong correlating variables. PCA for outliers,"R^2,RMSE,Var exp",10-fold cross-validation,Nothing mentioned,No,Yes,Supervized,"QGIS, R; gbm; ICEbox; qqnorm; RandomForest; Caret",2022,,"Ghilardelli, F., Barbato, M., & Gallo, A. (2022). A Preliminary Study to Classify Corn Silage for High or Low Mycotoxin Contamination by Using near Infrared Spectroscopy. Toxins, 14(5), 323. https://doi.org/10.3390/toxins14050323","Ghilardelli, Francesca",Italy,Toxins,No,"No, upon request","Checked if present, PCA used"
15,Not mentioned what gamma and cost were for SVC. Unclear how many predictors were in the study. Only AUC was reported,,QSAR,chemical inhibitors of mitochondrial electron transport chain (inhibition),ETC inhibitors,"~1000 samples, 12 fingerprints, 1151 discriptors",DT,"RF (500 trees),",C,"DT,LS","SVM, LR, BNB","removal of duplicate molecules, removal of high correlated predictors (Pearson r > 0.9) and low variance (ratio of the highest bit frequency to the second high bit frequency > 95:5) were removed","Sensitivity,Specificity,Balanced accuracy,Precision,F1,MCC,AUC",100 interation of 5-fold cross-validation,Nothing mentioned,No,Mentioned,Supervized,"R; Caret, Python; Scikit-Learn; SARpy, PaDEL",2022,,"Tang, W., Liu, W., Wang, Z., Hong, H., & Chen, J. (2022). Machine learning models on chemical inhibitors of mitochondrial electron transport chain. Journal of Hazardous Materials, 426, 128067. https://doi.org/10.1016/j.jhazmat.2021.128067",Weihao Tang,China,Journal of Hazardous Materials,No,Yes,Nothing mentioned
16,"Did not mention any method setup. Unclear how many predictors were used, no code given, no data given. All parameters are highly correlated (significant)",Showed y versus y hat (in table form). MS/MS transitions given.,QSAR,Computational models were used to determine the reabsorbed fractions of PFAS by calculating binding affinities of PFAS for key transporter proteins of enterohepatic circulation (adsorption),PFAS,"14 PFAS molecules, predictors unknown",DT,XGBoost,R,"DT,LS,SVM,NN","RF, MLR, SVM, BRNN, CM",Not mentioned,"R^2,RMSE",leave-one-out cross validation,Nothing mentioned,No,No,Supervized,"pKCS, R; RandomForest; e1071,; XGBoost, BRNN",,,"Cao, H., Zhou, Z., Hu, Z., Wei, C., Li, J., Wang, L., Liu, G., Zhang, J., Wang, Y., Wang, T., & Liang, Y. (2022). Effect of Enterohepatic Circulation on the Accumulation of Per- and Polyfluoroalkyl Substances: Evidence from Experimental and Computational Studies. Environmental Science & Technology, 56(5), 3214–3224. https://doi.org/10.1021/acs.est.1c07176",Huiming Cao,China,Environmental Science & Technology,No,Yes,Nothing mentioned
17,"validation paratmeters mentioned in text, in tables would have been nicer.","7 different models tested (classes: RF, SVM, MLP)",QSAR,Prediction defluorination abilities based on molecular structure (degradation),PFAS,"40 PFAS molecules, 339 PaDEL, 310 Mordred and 365 alvaDesc descriptors",DT,GBR,R,"DT,SVM,LS,NN","RF, XGBoost, LightGBM, Catboost, SVM, MLP",Descriptors that were constant or inter correlated (inter-correlation coefficient > 0.95) were removed,"R^2,RMSE,MAE",Training: 80% 5-fold cross-validation,Testing: 20%,No,No,Supervized,"PaDEL, OCHEM, Python; Scikit-learn; RDKit; Pycaret",2021,,"Cao, H., Peng, J., Zhou, Z., Sun, Y., Wang, Y., & Liang, Y. (2022). Insight into the defluorination ability of per- and polyfluoroalkyl substances based on machine learning and quantum chemical computations. Science of The Total Environment, 807, 151018. https://doi.org/10.1016/j.scitotenv.2021.151018",Huiming Cao,China,Science of The Total Environment,Yes,Yes,"Checked if there were, nothing mentioned about handeling"
18,Almost no information on the model. Not clear if the predictions were close to the real value,,QSAR,Predicting the LC50 of anthraquinone (toxicity),Organic molecules,744 components as predictor and LC50 as response,CL,HCA,C,None,None,log respone,"R^2,Prediction coverage","training: 80%, validation: 20%",Nothing mentioned,-,Yes,Supervized,Toxicity Estimation Software Toool,,,"Dilger, J. M., Martin, T. M., Wilkins, B. P., Bohrer, B. C., Thoreson, K. M., & Fedick, P. W. (2022). Detection and toxicity modeling of anthraquinone dyes and chlorinated side products from a colored smoke pyrotechnic reaction. Chemosphere, 287, 131845. https://doi.org/10.1016/j.chemosphere.2021.131845",Jonathan M. Dilger,USA,Chemosphere,Yes,Yes,Nothing mentioned
19,Modeling results in supplementaryy file.,"Mentioned other tested models, but k-NN was the best.",QSAR,predicting acute toxicity of freshly dispersed versus medium-aged nanomaterials (toxicity),Nanoparticles,"11 nanomaterial x 4 conditions. 353 values (150 toxic, 203 non-toxic). 13 predictors",CL,K-NN (EnaloskNN) (empirical cut-off = 0.5),C,None,None,Normalized by gaussian normalization method,"Sensitivity,Specificity,Accuracy,MCC","training: 75%, validation 25%","leave-one-out and leave-ten-out cross validation, Y-scrambeling",-,Yes,Supervized,Isalos Analytics Platform,2021,,"Varsou, D. D., Ellis, L. J. A., Afantitis, A., Melagraki, G., & Lynch, I. (2021). Ecotoxicological read-across models for predicting acute toxicity of freshly dispersed versus medium-aged NMs to Daphnia magna. Chemosphere, 285, 131452. https://doi.org/10.1016/j.chemosphere.2021.131452",Dimitra-Danai Varsou,Cyprus,Chemosphere,Yes,Yes,Nothing mentioned
20,Not clear if 5-fold cross-validation was on training or test set. Too many neurons in the ANN (512),All model parameters given in the supplementary file,QSAR,Predicting the toxicity of ionic liquids (toxicity),Ionic liquids,"153 samples, 206 MOE, 3150 Dragon",Other,Average of all other models,R,"CL,DT,NN","KNN,RF, XGBoost, ANN",logaritmic form,"R^2,RMSE","Training: 80%, 5-fold cross validation and external validation","Testing: 20%, Y-scrambeling",Yes,Yes,Supervized,"MOE, Dragon, Python; Keras; Tensorflow; Scikit-Learn, Gaussian 09, Gauss-Vieuw",2021,While dragon dataset was much bigger no difference in performance was seen,"Yan, J., Yan, X., Hu, S., Zhu, H., & Yan, B. (2021b). Comprehensive Interrogation on Acetylcholinesterase Inhibition by Ionic Liquids Using Machine Learning and Molecular Modeling. Environmental Science & Technology, 55(21), 14720–14731. https://doi.org/10.1021/acs.est.1c02960",Jiachen Yan,China,Environmental Science & Technology,No,Yes,"Checked if there were, nothing mentioned about handeling"
21,Not mentioned how many PC are used in the model. Different validation methods. Did not pick which model was the best,Good comparison between GBM and PLS model. Y versus Y-hat plot,QSAR,modeling of the acute toxicity of organic compounds to the freshwater crustacean Thamnocephalus platyurus (toxicity),Organic molecules,"76 organic chemicals, 423 descriptors (PaDEL)",DT,"GBM (251 descriptors, 16 trees, 1 depth, 2 leaves)",R,DE,PLS,PCA to check the distribution of the splitted data,"R^2,MAE,CCC","training: 80%. PLS: double cross-validation, GBM: 5-fold cross-validation",testing: 20%,No code,Yes,Unsupervized,"Small Dataset Curator, Small Dataset Modeler, PaDEL-Descriptor, KNIME, Applicability domain using standardization, QSAR Toolbox, istSimilarity",2021,,"Lavado, G. J., Baderna, D., Gadaleta, D., Ultre, M., Roy, K., & Benfenati, E. (2021). Ecotoxicological QSAR modeling of the acute toxicity of organic compounds to the freshwater crustacean Thamnocephalus platyurus. Chemosphere, 280, 130652. https://doi.org/10.1016/j.chemosphere.2021.130652",Giovanna J. Lavado,Italy,Chemosphere,Yes,Yes,Checked and removed
22,Gamma and cost not given. Dataset is confidential,Compared to different literature. Y versus Y-hat plots. Compared overlapping structures between the 3 models. Trierd explaining the models,QSAR,"estimating acute toxicity to aquatic organisms from different trophic levels: algae, Daphnia and fish (toxicity)",Organic molecules,"1440 (algae), 2120 (daphina), and 2110 (fish) compounds",SVM,"SVM (radial basis function, 15 descriptor spaces used)",R,None,None,log response,"R^2,RMSE","Training: 70%, 10* 5-fold cross-validation","testing: 30%, Y-scrambeling",No,No,Supervized,"QSAR Toolbox, KNIME, LibSVM",2021,,"Lunghini, F., Marcou, G., Azam, P., Enrici, M., Van Miert, E., & Varnek, A. (2020). Consensus QSAR models estimating acute toxicity to aquatic organisms from different trophic levels: algae, Daphnia and fish. SAR and QSAR in Environmental Research, 31(9), 655–675. https://doi.org/10.1080/1062936x.2020.1797872",Lunghini F,France,SAR and QSAR in Environmental Research,Yes,No,Nothing mentioned
23,model setup not mentioned. Not mentioned if data was splitted. Packages not mentioned. No clear comparison between RFC and other methods.,,QSAR,graphene (and derivatives) cytotoxicity (LC50) (toxicity),Nanoparticles,"761 datapoints, 10 predictors",DT,RF,R,"DT,LS,SVM,NN","LASSO, SVM",normalization,"R^2,MAE,OOB error",cross-validation,Nothing mentioned,No,No,Supervized,"GetData Graph Digitizer, Python",2021,,"Ma, Y., Wang, J., Wu, J., Tong, C., & Zhang, T. (2021). Meta-analysis of cellular toxicity for graphene via data-mining the literature and machine learning. Science of The Total Environment, 793, 148532. https://doi.org/10.1016/j.scitotenv.2021.148532",Ying Ma,China,Science of The Total Environment,No,No,Nothing mentioned
24,Train and test size not mentioned,Y versus Y-hat plot. discussed minimal sample size to train their model,QSAR,Predicting LC50 (toxicity),Organic molecules,2521 experimental ecotoxicity data in 8 species. 8-15 descriptors,NN,"ANN (smallest = 16, biggest = 64x32)",R,None,None,"Features with low variance, had a high correlation with other columns, or were non-predictive were removed, log-normal distribution","MSE,R^2",5-fold cross-validation,Nothing mentioned,,Yes,,Python; RDKit; Mordred; Scikit-Learn; Keras; TensorFlow,2022,,"Song, R., Li, D., Chang, A., Tao, M., Qin, Y., Keller, A. A., & Suh, S. (2021). Accelerating the pace of ecotoxicological assessment using artificial intelligence. Ambio, 51(3), 598–610. https://doi.org/10.1007/s13280-021-01598-8","Runsheng Song
",USA,?,Yes,Yes,Nothing mentioned
25,Difficult atricle to read,Lots of statistics. Tried to explain the NN model,QSAR,Predicting toxicity on large scale (10000 molecules) (toxicity),Organic molecules,"10000 molecules?, depending on dataset between 503 and 1113 features",NN,"DL (10 attention heads=(40 hidden layers, sigmoid). Activation=ReLU, 4 layers 2048 units, optimizer=Adam)\",C,DT,XGBoost,"descriptors with 1 missing values, less than 2 unique values or high correlation with others were removed","ROC,AUC",20-fold cross-validation,Nothing mentioned,Yes,No,Supervized,"KNIME, Python; Tensorflow; Numpy; Xgboost; Scikit-Learn",2022,,"Yap, X. H., & Raymer, M. (2022). Toxicity prediction using locality-sensitive deep learner. Computational Toxicology, 21, 100210. https://doi.org/10.1016/j.comtox.2021.100210",Xiu Huan Yap,USA,Computational Toxicology,Yes,No,Nothing mentioned
26,Nr of discripters not mentioned. Train validation split not mentioned,Mentioned problems with previous implemented studies. Y versus Y-hat shown,QSAR,Prediction of degradability of micropollutants by sonolysis in water (degradation),Phenol derivatives,40 molecules,LS,MLR (10 discriptors in the model),R,None,None,"PCA was used to spot outliers. discriptors were removed if almost contant (80% of values have te same value) or high correlated. Descriptors normalized, not mentioned how","R^2,RMSE,MAE,PRESS,CCC",data was splitted. Leave-one-out cross validation. 70% of data,Testing: 30%,No,Yes,Supervized,"PaDEL,QSARINS,",2022,,"Glienke, J., Schillberg, W., Stelter, M., & Braeutigam, P. (2022). Prediction of degradability of micropollutants by sonolysis in water with QSPR - a case study on phenol derivates. Ultrasonics Sonochemistry, 82, 105867. https://doi.org/10.1016/j.ultsonch.2021.105867",Judith Glienke,Germany,Ultrasonics Sonochemistry,Yes,Yes,"Checked, no outlier present"
27,"Not code given, data not given",Clear mow the models were setup,QSAR,prediction of fish bioconcentration factors using physicochemical properties and molecular descriptors,Organic molecules,"522 chemicals, 1826 discriptors + 46 physicochemical properties",DT,"XGBoost (max_depth=30, min_child_weight=15, n_estimators=200, gamma=0.001)",R,"SVM,LS","SVM, MLR",descriptors selected using feature importance,"R^2,RMSE","training: 60%, 5-fold cross-validation",testing: 40%,No,Yes,Supervized,"Python; MatPlitLib; Numpy; SciPy; Scikit-Learn, Open Babel, RDKit, Mordred, PaDEL, Euclidean-Distance",2021,,"Kobayashi, Y., & Yoshida, K. (2021). Development of QSAR models for prediction of fish bioconcentration factors using physicochemical properties and molecular descriptors with machine learning algorithms. Ecological Informatics, 63, 101285. https://doi.org/10.1016/j.ecoinf.2021.101285",Yoshiyuki Kobayashi,Japan,Ecological Informatics,Yes,Yes,Nothing mentioned
28,No information on how the models were setup,Nice graphical representation of the preces from sample to model.,QSAR,Retention time of pesticides (Retention),Pesticides,"398 pesticides, 3874 Chemical descriptors + 1024 Fingerprints (alvaDesc) + 287 Fingerprints (RCDK)",DT,Combination of all RF models,R,"DT,NN","RF, XGBoost, lightGBM, Keras","NaN values were set to 0, redundant parameters were removed by double cross-validation","RMSE,R^2,MAE","training: 80%, 10-fold cross-validation",testing:20%,No,Yes,Supervized,"AlvaDesc, R; RCDK; Retip",2021,,"Feng, C., Xu, Q., Qiu, X., Jin, Y., Ji, J., Lin, Y., Le, S., She, J., Lu, D., & Wang, G. (2021). Evaluation and application of machine learning-based retention time prediction for suspect screening of pesticides and pesticide transformation products in LC-HRMS. Chemosphere, 271, 129447. https://doi.org/10.1016/j.chemosphere.2020.129447",Chao Feng,China,Chemosphere,Yes,Yes,"Checked if there were, nothing mentioned about handeling"
29,Unclear how the model was built,Data structured and unique names given (and used),Process monitoring,Predicting if methane concentration in ground water is anomelous,Methane,"14 predictors (made into 6k+ features), 16K+ samples",LS,LR (ensemle method) (1000 curves),C,None,None,Pearson correlation and Spearman’s rank correlation,"F1,AUC","training: 19k samples, 5-fold cross-validation",Not performed,No,Yes,Supervized,,2021,,"Wen, T., Liu, M., Woda, J., Zheng, G., & Brantley, S. L. (2021). Detecting anomalous methane in groundwater within hydrocarbon production areas across the United States. Water Research, 200, 117236. https://doi.org/10.1016/j.watres.2021.117236",Tao Wen,USA,Water Research,No,Yes,Nothing mentioned
30,Bit overkill with CNN here. Model per year. Called validation set test set. No clue what a accuracy of 0.94.02 is,"Great explenation about the NN, but waaay to deep",Process monitoring,The main objective of the present study (1) is to propose a DLCNN data-driven approach and modelling framework to foretell spatial distribution and intensity of soil salinity in Lake Urmia in the northwest of Iran,Soil,"704 samples, 4 predictors",NN,"DL-CNN (ReLU, cross-entropy, ADAM)",C,None,None,data normalized between 0 and 1,"Accuracy,Kappa,Accuracy","70% training, 30% validation",Nothing mentioned,No,No,Supervized,"ENVI 5.3 with FLAASH method, Python; Tensorflow; Keras",2021,,"Garajeh, M. K., Malakyar, F., Weng, Q., Feizizadeh, B., Blaschke, T., & Lakes, T. (2021). An automated deep learning convolutional neural network algorithm applied for soil salinity distribution mapping in Lake Urmia, Iran. Science of The Total Environment, 778, 146253. https://doi.org/10.1016/j.scitotenv.2021.146253",Mohammad Kazemi Garajeh,Iran,Science of The Total Environment,No,No,Nothing mentioned
